Study_Hours,Attendance_Percentage,Internal_Assessment_Score,Previous_Academic_Result,Final_Grade,Study_Efficiency,Internet_Usage_Hours,Gender_Male,Result,Result_Label,Grade_Label
6.7,97.7,37.4,47.4,40,0.81,3.0,1,0,Fail,D
3.3,87.7,30.5,86.9,40,0.96,5.1,1,0,Fail,D
6.7,97.6,49.5,99.3,90,0.93,7.1,0,1,Pass,A
6.7,82.2,45.1,83.5,75,0.52,2.2,0,1,Pass,B
8.0,84.0,37.3,86.9,75,0.66,5.6,0,1,Pass,B
2.0,99.1,38.6,82.2,75,0.66,5.6,0,1,Pass,B
7.8,85.7,43.6,64.7,60,0.58,4.0,0,1,Pass,C
5.9,80.7,35.4,58.4,60,0.51,1.1,1,1,Pass,C
9.7,89.0,43.1,49.2,40,0.61,7.9,0,0,Fail,D
4.1,96.2,44.9,90.4,90,0.75,1.6,1,1,Pass,A
6.7,91.8,49.5,86.9,40,0.99,7.0,0,0,Fail,D
9.4,80.7,44.4,57.4,60,0.53,7.5,1,1,Pass,C
6.7,86.9,30.0,58.4,60,0.89,1.4,1,1,Pass,C
9.4,99.6,43.7,86.9,40,0.67,5.6,0,0,Fail,D
7.2,63.6,49.5,70.5,75,0.6,5.2,0,1,Pass,B
6.7,86.7,24.1,86.9,40,0.87,6.2,1,0,Fail,D
3.7,71.3,32.0,58.1,40,0.74,1.6,1,0,Fail,D
7.4,85.6,52.2,96.0,90,0.99,2.6,0,1,Pass,A
1.6,80.7,29.2,58.6,60,0.73,4.9,0,1,Pass,C
6.2,66.1,37.5,61.6,60,0.78,6.2,0,1,Pass,C
4.1,68.3,49.5,68.4,60,0.84,2.6,0,1,Pass,C
6.6,80.7,43.8,86.9,75,0.98,5.6,0,1,Pass,B
1.4,65.1,35.9,86.9,90,0.6,3.6,0,1,Pass,A
8.8,70.6,40.1,51.4,40,0.57,6.8,0,0,Fail,D
9.8,93.4,56.6,86.9,40,0.8,4.2,0,0,Fail,D
6.7,73.1,52.4,85.5,90,0.6,2.8,0,1,Pass,A
7.7,79.5,48.4,86.9,75,0.83,2.2,1,1,Pass,B
6.7,97.6,27.7,45.2,40,0.86,5.0,0,0,Fail,D
7.8,80.7,34.9,41.3,40,0.83,7.5,0,0,Fail,D
1.2,75.6,32.6,75.6,75,0.93,1.3,0,1,Pass,B
1.2,80.7,38.4,91.8,90,0.55,3.7,0,1,Pass,A
3.9,90.2,39.4,75.1,75,0.51,5.9,1,1,Pass,B
5.4,80.7,36.2,52.8,40,0.57,7.7,1,0,Fail,D
7.9,96.6,41.9,45.4,40,0.62,5.5,0,0,Fail,D
6.7,91.1,47.9,82.0,75,0.93,6.4,0,1,Pass,B
5.0,69.1,41.9,83.3,75,0.73,2.9,1,1,Pass,B
3.5,61.0,28.2,50.4,40,0.56,3.3,0,0,Fail,D
10.0,75.4,40.0,41.7,40,0.97,5.2,0,0,Fail,D
4.8,80.7,35.5,64.5,60,0.86,4.7,1,1,Pass,C
5.1,88.4,41.5,75.0,75,0.74,5.1,1,1,Pass,B
6.7,86.4,38.4,82.4,75,0.83,4.1,0,1,Pass,B
8.2,61.8,49.2,88.6,90,0.61,5.5,1,1,Pass,A
6.7,93.5,46.7,76.6,75,0.58,2.6,0,1,Pass,B
3.0,69.9,27.0,46.7,40,0.77,5.6,0,0,Fail,D
1.7,77.3,35.4,81.0,75,0.51,4.1,0,1,Pass,B
7.1,80.7,52.6,99.1,90,0.81,4.9,0,1,Pass,A
6.9,77.2,49.8,94.3,90,0.73,5.6,1,1,Pass,A
3.5,80.7,42.5,92.3,90,0.51,6.2,0,1,Pass,A
9.6,62.6,42.9,58.1,60,0.89,5.6,0,1,Pass,C
2.4,76.1,37.9,85.0,90,0.81,3.1,0,1,Pass,A
4.9,90.6,46.2,91.1,90,0.51,2.7,0,1,Pass,A
9.5,96.6,52.9,86.9,75,0.75,4.6,0,1,Pass,B
4.8,76.5,49.5,55.0,60,0.81,6.7,1,1,Pass,C
6.7,76.9,49.5,86.9,90,0.62,7.6,0,1,Pass,A
4.6,88.1,38.1,86.9,60,0.93,5.6,1,1,Pass,C
3.5,97.7,31.1,47.8,40,0.91,5.6,0,0,Fail,D
9.9,70.7,40.8,46.6,40,0.91,5.9,0,0,Fail,D
4.7,77.6,49.5,78.9,75,0.9,2.4,0,1,Pass,B
9.0,80.7,47.1,66.3,60,0.51,4.6,0,1,Pass,C
3.1,84.4,28.4,45.7,40,0.93,5.6,0,0,Fail,D
2.9,64.4,37.6,84.4,75,0.93,4.7,0,1,Pass,B
1.3,85.1,37.5,88.0,75,0.8,2.0,1,1,Pass,B
6.9,67.5,45.6,86.9,75,0.88,6.1,0,1,Pass,B
4.3,80.4,32.3,52.1,40,0.5,4.6,0,0,Fail,D
8.8,81.2,50.1,81.4,75,0.93,2.8,1,1,Pass,B
5.3,95.0,32.3,86.9,40,0.79,4.7,0,0,Fail,D
6.7,78.5,44.7,58.3,60,0.55,5.4,1,1,Pass,C
2.7,71.2,31.7,63.9,60,0.6,6.2,1,1,Pass,C
8.8,69.2,51.6,90.1,90,0.99,5.4,0,1,Pass,A
8.0,95.0,44.5,86.9,60,0.86,1.0,0,1,Pass,C
7.9,66.8,49.5,86.9,40,0.66,6.0,1,0,Fail,D
8.6,77.0,43.2,61.1,60,0.52,5.6,1,1,Pass,C
7.8,80.7,43.3,69.9,60,0.68,4.9,0,1,Pass,C
6.6,80.7,51.4,96.9,90,0.93,6.7,0,1,Pass,A
2.2,80.7,49.5,86.9,90,0.93,5.6,0,1,Pass,A
1.3,74.0,25.3,50.9,40,0.79,2.5,1,0,Fail,D
9.3,74.4,41.4,51.1,40,0.93,2.3,1,0,Fail,D
6.5,94.1,49.5,49.8,40,0.77,5.6,0,0,Fail,D
8.2,80.7,50.8,87.3,75,0.93,3.4,0,1,Pass,B
5.3,88.7,31.6,86.9,40,0.64,1.5,1,0,Fail,D
2.1,95.9,49.5,47.6,40,0.95,5.6,1,0,Fail,D
2.1,96.1,35.5,72.3,60,0.82,4.0,1,1,Pass,C
7.2,73.1,38.2,54.9,40,0.55,4.6,1,0,Fail,D
4.9,98.1,33.3,45.5,40,0.6,2.5,0,0,Fail,D
2.8,61.0,30.2,61.6,60,0.5,6.6,1,1,Pass,C
5.4,75.1,35.3,56.5,60,0.83,4.5,0,1,Pass,C
1.6,95.8,34.0,70.7,75,0.77,7.5,0,1,Pass,B
6.7,71.0,49.1,98.8,90,0.93,4.3,1,1,Pass,A
3.4,80.7,41.9,47.5,40,0.97,1.7,0,0,Fail,D
6.7,72.1,42.3,62.4,60,0.75,3.3,0,1,Pass,C
3.8,84.5,44.8,86.9,40,0.96,5.1,0,0,Fail,D
5.1,77.5,49.5,92.6,90,0.55,2.8,0,1,Pass,A
1.1,89.1,49.5,86.9,60,0.65,5.1,0,1,Pass,C
1.7,95.8,37.6,81.9,75,0.51,5.5,0,1,Pass,B
4.5,87.0,31.3,45.3,40,0.62,1.7,0,0,Fail,D
5.3,68.2,42.3,82.8,75,0.65,5.5,0,1,Pass,B
6.4,97.3,52.0,98.4,90,0.52,7.3,1,1,Pass,A
3.6,80.7,35.9,72.2,75,0.93,5.1,1,1,Pass,B
7.3,66.0,42.2,69.9,60,0.86,2.0,0,1,Pass,C
8.7,63.6,39.1,51.2,40,0.87,7.7,0,0,Fail,D
8.0,82.5,47.6,78.0,75,0.77,6.9,1,1,Pass,B
1.4,64.6,31.9,86.9,75,0.95,4.0,0,1,Pass,B
5.3,65.6,40.9,79.1,75,0.59,1.4,1,1,Pass,B
6.7,72.0,23.5,41.6,40,0.93,5.1,1,0,Fail,D
3.2,80.7,35.4,72.9,75,0.79,3.3,1,1,Pass,B
9.9,84.2,50.9,75.7,75,0.52,5.8,0,1,Pass,B
2.3,92.7,29.6,52.5,40,0.66,4.9,1,0,Fail,D
5.5,90.5,35.8,52.5,40,0.79,3.8,0,0,Fail,D
6.7,70.5,37.2,56.6,60,0.72,4.5,1,1,Pass,C
7.3,69.8,46.4,76.4,75,0.64,5.1,1,1,Pass,B
6.0,80.7,44.8,76.4,75,0.72,1.8,0,1,Pass,B
1.1,80.7,35.4,90.7,90,0.93,3.8,0,1,Pass,A
3.9,95.2,34.6,57.7,40,0.7,7.4,0,0,Fail,D
5.7,68.0,46.6,94.7,90,0.87,5.6,1,1,Pass,A
6.7,80.7,38.8,84.6,75,0.93,6.7,0,1,Pass,B
4.2,80.7,34.9,63.7,60,0.69,2.0,1,1,Pass,C
1.3,77.6,24.1,45.7,40,0.86,4.2,0,0,Fail,D
1.7,88.3,28.8,55.4,60,0.95,5.1,1,1,Pass,C
4.6,83.5,46.8,97.4,90,0.87,1.8,1,1,Pass,A
2.2,72.7,29.2,58.6,60,0.93,7.2,0,1,Pass,C
6.1,80.7,49.5,59.8,60,0.76,5.6,1,1,Pass,C
7.2,89.2,49.5,51.4,40,0.93,4.7,0,0,Fail,D
8.2,61.7,49.1,88.4,90,0.61,5.4,0,1,Pass,A
2.8,60.4,49.5,56.5,60,0.85,4.5,1,1,Pass,C
6.7,78.3,30.8,59.8,60,0.7,2.8,1,1,Pass,C
6.7,65.3,29.8,86.9,40,0.71,2.6,1,0,Fail,D
6.7,86.6,41.9,66.0,60,0.91,7.8,1,1,Pass,C
7.4,68.6,41.1,64.7,60,0.76,5.6,1,1,Pass,C
6.7,77.3,31.4,86.9,75,0.7,2.6,1,1,Pass,B
6.7,67.9,52.3,88.9,90,0.77,5.6,1,1,Pass,A
6.7,81.9,49.5,89.2,90,0.6,7.8,0,1,Pass,A
5.9,64.6,44.6,87.9,90,0.71,1.5,0,1,Pass,A
7.4,80.7,34.7,46.1,40,0.93,6.8,0,0,Fail,D
8.8,62.0,50.2,86.9,40,0.84,6.4,0,0,Fail,D
7.4,80.7,49.5,47.2,40,0.9,4.8,0,0,Fail,D
8.2,65.7,49.5,47.5,40,0.9,4.5,1,0,Fail,D
4.1,88.3,46.1,96.9,90,0.6,1.9,0,1,Pass,A
8.3,62.7,49.6,89.2,90,0.93,1.9,0,1,Pass,A
1.7,64.3,31.8,73.1,75,0.85,1.5,1,1,Pass,B
9.1,80.4,54.0,92.5,90,0.67,6.1,0,1,Pass,A
5.9,78.6,49.5,99.4,90,0.85,5.6,1,1,Pass,A
6.7,98.1,49.6,76.6,75,0.93,4.4,1,1,Pass,B
5.1,97.8,43.0,76.8,75,0.51,2.2,1,1,Pass,B
6.8,91.2,48.3,86.9,90,0.53,6.2,1,1,Pass,A
5.7,80.7,49.5,53.9,40,1.0,2.9,0,0,Fail,D
7.6,78.2,38.0,50.0,40,0.93,4.2,1,0,Fail,D
1.7,74.2,49.5,85.6,90,0.61,7.9,0,1,Pass,A
1.5,80.7,31.0,86.9,60,0.65,5.6,1,1,Pass,C
3.2,80.7,49.5,48.1,40,0.97,2.7,0,0,Fail,D
2.4,80.7,49.5,58.9,60,0.67,3.2,1,1,Pass,C
8.8,69.3,43.0,61.5,60,0.84,5.3,0,1,Pass,C
3.0,80.7,41.6,97.9,90,0.93,5.6,0,1,Pass,A
9.8,80.7,54.0,81.9,75,0.69,3.9,0,1,Pass,B
6.7,80.7,36.8,71.9,75,0.74,4.9,0,1,Pass,B
2.6,77.7,42.4,98.1,90,0.81,7.3,0,1,Pass,A
8.1,64.6,50.9,86.9,90,0.93,2.4,1,1,Pass,A
6.9,93.5,44.4,70.7,75,0.57,1.4,0,1,Pass,B
5.5,61.1,45.4,76.4,90,0.8,6.7,0,1,Pass,A
6.0,93.4,40.6,64.3,60,0.73,7.8,0,1,Pass,C
7.5,65.6,49.5,53.8,40,0.76,4.3,0,0,Fail,D
3.1,95.5,49.5,54.0,40,0.98,3.1,1,0,Fail,D
6.3,80.7,52.8,79.7,75,0.93,5.6,1,1,Pass,B
9.8,66.6,47.3,70.1,75,0.91,6.8,1,1,Pass,B
6.9,82.6,45.9,79.5,75,0.56,5.6,1,1,Pass,B
2.8,72.5,37.2,81.2,75,0.82,4.4,0,1,Pass,B
7.1,67.1,33.3,86.9,40,0.86,4.1,1,0,Fail,D
1.6,94.4,25.6,43.2,40,0.93,6.6,0,0,Fail,D
1.3,76.1,31.8,72.0,75,0.72,3.2,0,1,Pass,B
3.3,80.7,29.6,51.5,40,0.69,2.8,0,0,Fail,D
6.7,80.7,40.5,78.0,75,0.93,7.6,1,1,Pass,B
8.8,80.7,49.5,73.1,75,0.72,1.2,1,1,Pass,B
7.5,94.9,47.0,86.9,40,0.53,5.6,0,0,Fail,D
7.7,74.5,40.3,58.1,60,0.73,3.8,0,1,Pass,C
4.8,98.1,42.9,78.4,75,0.91,4.3,1,1,Pass,B
4.1,80.7,44.9,89.8,90,0.89,5.6,0,1,Pass,A
4.3,65.8,45.2,86.9,90,0.65,6.4,0,1,Pass,A
9.9,80.7,53.6,90.3,90,0.85,5.6,0,1,Pass,A
1.4,80.7,34.3,86.9,75,0.71,4.8,0,1,Pass,B
8.8,75.7,40.6,51.6,40,0.99,5.5,0,0,Fail,D
6.2,60.2,42.7,86.9,75,0.64,2.6,1,1,Pass,B
4.9,71.0,45.8,86.9,90,0.71,6.5,0,1,Pass,A
7.5,83.9,49.5,52.7,40,0.78,5.7,1,0,Fail,D
5.4,92.0,36.6,55.4,60,0.8,1.5,0,1,Pass,C
8.9,65.3,39.0,48.9,40,0.6,5.6,0,0,Fail,D
6.7,80.7,49.9,84.2,75,0.71,3.4,1,1,Pass,B
4.8,96.9,38.6,64.4,60,0.93,1.3,0,1,Pass,C
3.5,90.0,29.1,43.8,40,0.72,5.5,1,0,Fail,D
6.3,83.6,48.7,86.9,40,0.82,4.0,1,0,Fail,D
9.2,90.8,49.5,76.4,75,0.93,5.2,1,1,Pass,B
2.9,77.2,49.5,86.9,60,0.57,5.9,0,1,Pass,C
6.6,90.3,40.4,60.6,60,0.8,5.6,0,1,Pass,C
6.7,74.9,38.1,57.4,60,0.98,7.5,0,1,Pass,C
7.6,69.8,42.4,67.3,60,0.95,3.5,0,1,Pass,C
6.7,89.2,31.4,60.2,60,1.0,5.6,1,1,Pass,C
7.4,76.8,44.4,72.9,75,0.57,5.8,1,1,Pass,B
9.2,99.3,49.5,86.4,75,0.7,5.6,0,1,Pass,B
2.6,74.0,49.5,80.5,75,0.93,1.9,0,1,Pass,B
3.1,96.9,41.9,57.7,60,0.55,5.8,1,1,Pass,C
9.7,97.3,50.6,71.7,75,0.93,3.3,1,1,Pass,B
2.6,69.7,39.3,86.9,75,1.0,2.2,1,1,Pass,B
8.7,91.9,39.8,44.1,40,0.89,4.8,0,0,Fail,D
5.4,77.3,31.9,44.7,40,0.75,4.3,1,0,Fail,D
3.2,96.7,38.1,73.4,75,0.82,3.3,0,1,Pass,B
6.7,78.0,48.9,78.3,75,0.93,4.6,0,1,Pass,B
5.0,89.8,34.8,52.7,40,0.93,2.8,0,0,Fail,D
5.6,78.7,44.5,84.7,75,0.53,2.3,1,1,Pass,B
4.2,80.7,39.0,78.8,75,0.86,4.6,0,1,Pass,B
6.3,68.0,48.0,95.4,90,0.53,2.9,0,1,Pass,A
2.5,80.7,27.7,50.1,40,0.94,6.0,0,0,Fail,D
4.5,90.2,43.6,85.1,90,0.93,7.6,1,1,Pass,A
9.7,84.2,41.3,45.0,40,0.54,5.2,0,0,Fail,D
3.3,87.5,37.5,73.9,60,0.61,2.8,0,1,Pass,C
6.9,71.3,42.9,73.1,75,0.53,2.9,0,1,Pass,B
3.9,79.3,41.9,86.9,60,0.94,5.1,0,1,Pass,C
8.0,61.8,49.4,90.7,90,0.61,1.9,0,1,Pass,A
2.2,92.7,25.8,40.3,40,0.5,4.7,1,0,Fail,D
9.7,99.6,50.7,71.2,75,0.51,2.9,0,1,Pass,B
5.1,76.3,49.5,53.0,40,0.99,2.5,0,0,Fail,D
3.1,80.7,49.5,84.6,75,0.96,6.0,0,1,Pass,B
1.7,66.8,22.9,42.6,40,0.84,5.6,0,0,Fail,D
2.5,80.7,40.6,89.9,90,0.58,5.6,1,1,Pass,A
5.7,84.5,49.5,90.3,90,0.68,5.6,1,1,Pass,A
4.0,91.5,44.2,90.0,90,0.66,5.0,1,1,Pass,A
6.7,70.2,38.8,49.2,40,0.81,5.7,0,0,Fail,D
4.9,90.5,42.2,86.9,75,0.61,2.3,0,1,Pass,B
3.2,87.5,27.4,40.9,40,0.77,5.6,0,0,Fail,D
6.7,72.9,47.8,86.9,90,0.85,7.1,1,1,Pass,A
7.4,81.8,48.0,83.4,75,0.68,3.0,1,1,Pass,B
2.5,65.9,33.2,86.9,75,0.63,4.6,1,1,Pass,B
6.7,80.7,37.9,83.8,75,0.67,6.1,0,1,Pass,B
1.3,95.2,25.8,45.7,40,0.59,5.6,0,0,Fail,D
7.6,76.8,44.4,71.7,75,0.93,5.2,1,1,Pass,B
7.0,93.6,40.6,57.5,60,0.86,5.6,0,1,Pass,C
5.3,83.6,49.5,98.4,90,0.69,7.6,1,1,Pass,A
8.6,80.7,49.5,91.4,90,0.67,5.8,0,1,Pass,A
8.3,80.7,50.1,86.9,40,0.82,3.2,1,0,Fail,D
6.3,80.2,49.4,76.4,90,0.75,4.9,1,1,Pass,A
8.8,75.9,43.4,60.8,60,0.93,7.3,0,1,Pass,C
2.9,64.8,40.5,94.1,90,0.88,7.2,1,1,Pass,A
2.0,76.7,49.5,59.5,60,0.93,5.1,0,1,Pass,C
3.4,62.9,38.3,84.0,75,0.93,1.5,1,1,Pass,B
6.7,64.0,49.5,84.2,75,0.93,5.6,0,1,Pass,B
5.8,76.6,31.6,41.1,40,0.84,7.7,0,0,Fail,D
6.7,80.7,44.5,61.7,60,0.93,6.0,0,1,Pass,C
1.4,97.0,24.9,41.2,40,0.8,5.6,1,0,Fail,D
2.1,75.0,41.6,99.8,90,0.97,5.6,0,1,Pass,A
5.1,90.3,33.4,47.3,40,0.79,1.6,1,0,Fail,D
9.4,80.7,49.5,72.6,75,0.98,6.5,0,1,Pass,B
3.8,88.2,42.6,76.4,90,0.59,5.5,1,1,Pass,A
5.6,70.4,33.9,52.1,40,0.61,5.6,1,0,Fail,D
1.4,97.7,49.5,69.1,60,0.93,7.7,0,1,Pass,C
2.3,81.2,35.6,76.4,75,0.83,4.0,0,1,Pass,B
6.7,80.7,44.0,49.6,40,0.8,3.3,1,0,Fail,D
9.7,74.6,52.9,86.9,90,0.65,5.5,0,1,Pass,A
1.0,64.0,25.8,58.0,60,0.62,2.3,0,1,Pass,C
9.6,86.9,43.7,52.7,40,0.78,5.8,0,0,Fail,D
6.8,60.3,41.9,73.5,75,0.71,5.6,1,1,Pass,B
6.7,79.0,44.9,64.6,60,0.93,2.1,0,1,Pass,C
6.7,67.7,41.9,95.2,90,0.93,2.9,0,1,Pass,A
5.6,80.7,47.6,92.8,90,0.72,7.1,1,1,Pass,A
5.4,99.2,41.4,69.0,60,0.53,7.1,1,1,Pass,C
7.0,78.6,40.3,61.6,60,0.6,4.6,0,1,Pass,C
2.3,80.7,31.7,59.5,60,0.61,7.7,0,1,Pass,C
1.3,80.3,49.5,56.1,60,0.8,7.3,0,1,Pass,C
3.8,79.8,37.4,72.7,75,0.68,6.9,1,1,Pass,B
7.3,97.2,49.5,88.3,90,0.7,5.3,0,1,Pass,A
2.8,95.6,32.7,58.6,40,0.85,1.4,0,0,Fail,D
7.1,80.7,49.5,86.9,40,0.97,6.1,0,0,Fail,D
9.7,71.9,49.5,68.5,60,0.72,5.8,0,1,Pass,C
1.8,81.8,25.0,44.1,40,0.85,5.8,0,0,Fail,D
7.1,80.7,45.7,82.1,75,0.82,5.6,0,1,Pass,B
5.0,77.8,39.1,71.1,75,0.93,3.7,0,1,Pass,B
8.8,79.4,46.5,69.8,60,0.61,5.6,1,1,Pass,C
2.6,93.3,31.9,58.0,60,0.76,3.9,0,1,Pass,C
7.2,95.8,52.3,94.3,90,0.93,4.9,1,1,Pass,A
8.5,76.6,38.3,45.4,40,0.78,5.6,1,0,Fail,D
9.5,60.7,52.7,92.2,90,0.74,3.0,0,1,Pass,A
7.1,94.5,42.4,62.6,60,0.89,2.6,1,1,Pass,C
5.5,67.0,45.5,92.8,90,0.71,5.0,1,1,Pass,A
6.6,84.9,46.8,83.7,75,0.79,4.1,1,1,Pass,B
8.8,80.7,37.6,86.9,40,0.75,6.4,1,0,Fail,D
6.1,76.0,49.5,89.9,90,0.61,4.8,1,1,Pass,A
1.3,80.7,36.8,80.9,75,0.51,7.5,1,1,Pass,B
9.4,64.0,37.8,41.9,40,0.52,5.6,0,0,Fail,D
7.2,76.9,36.5,48.0,40,0.86,5.8,1,0,Fail,D
7.1,80.7,49.5,78.1,75,0.92,6.7,1,1,Pass,B
2.9,96.2,39.4,79.8,75,0.63,3.2,0,1,Pass,B
6.9,94.8,48.7,84.8,75,0.78,6.8,1,1,Pass,B
4.5,69.5,40.9,86.9,75,0.95,3.6,0,1,Pass,B
6.7,63.2,44.0,79.6,75,0.61,5.6,1,1,Pass,B
2.0,85.1,38.3,86.0,90,0.93,3.1,0,1,Pass,A
6.3,73.5,43.5,86.9,75,0.93,8.0,0,1,Pass,B
10.0,86.9,45.4,55.6,60,0.66,5.6,0,1,Pass,C
6.7,61.3,37.3,94.7,90,0.91,1.8,0,1,Pass,A
9.8,65.3,38.5,86.9,40,0.56,7.7,0,0,Fail,D
4.7,87.5,36.8,86.9,75,0.74,4.9,0,1,Pass,B
8.8,68.5,49.6,83.7,75,1.0,1.6,0,1,Pass,B
8.0,94.3,45.1,65.6,60,0.83,7.4,0,1,Pass,C
6.3,80.7,49.5,41.5,40,0.93,7.1,0,0,Fail,D
7.6,80.7,35.3,44.0,40,0.84,4.7,0,0,Fail,D
8.9,99.9,51.5,86.9,75,0.93,5.6,0,1,Pass,B
4.6,77.3,46.3,86.9,90,0.77,6.7,0,1,Pass,A
3.9,88.1,38.5,73.1,75,0.73,1.6,0,1,Pass,B
7.0,67.3,41.9,86.9,75,0.62,4.5,0,1,Pass,B
8.3,84.4,42.8,59.1,60,0.62,3.3,1,1,Pass,C
6.7,89.0,49.5,76.4,60,0.79,1.1,1,1,Pass,C
8.2,72.6,36.0,41.3,40,0.64,2.6,0,0,Fail,D
6.7,93.2,36.0,86.9,60,0.93,5.6,0,1,Pass,C
8.4,84.1,41.9,66.9,60,0.58,5.0,0,1,Pass,C
2.1,80.7,27.3,51.9,40,0.86,3.6,1,0,Fail,D
5.9,82.3,49.5,45.2,40,0.72,7.8,0,0,Fail,D
1.1,83.1,49.5,83.1,75,0.54,5.6,1,1,Pass,B
3.9,66.6,42.6,93.7,90,0.78,4.5,1,1,Pass,A
4.3,76.1,45.1,96.2,90,0.83,2.5,0,1,Pass,A
4.6,73.7,49.5,86.9,75,0.63,5.5,1,1,Pass,B
7.3,76.0,35.2,43.2,40,0.91,4.7,0,0,Fail,D
4.5,90.4,43.4,84.5,75,0.83,1.2,0,1,Pass,B
5.0,79.3,49.5,46.6,40,0.81,6.2,0,0,Fail,D
3.1,97.6,40.0,80.2,75,0.88,1.0,0,1,Pass,B
4.4,80.7,42.0,86.8,90,0.98,3.7,1,1,Pass,A
3.0,76.6,49.5,83.6,75,0.77,7.5,0,1,Pass,B
1.7,91.5,41.7,86.9,90,0.74,2.7,1,1,Pass,A
6.4,81.8,46.3,84.3,75,0.75,3.3,1,1,Pass,B
7.0,81.9,46.7,86.9,75,0.56,7.2,0,1,Pass,B
6.6,62.1,36.1,55.7,60,0.65,7.1,1,1,Pass,C
5.2,75.9,46.6,86.9,40,0.96,5.3,1,0,Fail,D
6.7,70.8,31.1,50.8,40,0.74,5.3,1,0,Fail,D
6.7,100.0,55.9,94.3,90,0.93,5.6,1,1,Pass,A
5.7,80.7,36.3,58.8,40,0.93,2.0,1,0,Fail,D
5.3,95.4,34.5,47.8,40,0.64,5.4,1,0,Fail,D
1.2,87.0,38.0,89.6,90,0.65,2.0,1,1,Pass,A
4.1,73.6,27.6,86.9,40,0.79,2.4,0,0,Fail,D
4.4,80.7,49.5,89.9,90,0.81,1.0,1,1,Pass,A
4.6,80.7,35.3,55.7,60,0.86,1.7,0,1,Pass,C
6.2,95.3,49.9,93.1,90,0.85,3.8,0,1,Pass,A
5.8,80.7,42.7,86.9,75,0.54,6.3,0,1,Pass,B
6.5,80.7,44.4,80.0,75,0.72,1.4,1,1,Pass,B
7.9,73.4,41.7,86.9,60,0.91,4.6,1,1,Pass,C
8.3,61.7,49.5,43.6,40,0.75,5.0,1,0,Fail,D
7.5,83.9,50.3,89.8,90,0.84,4.1,0,1,Pass,A
9.6,94.2,43.7,86.9,40,0.71,2.0,0,0,Fail,D
6.7,75.3,28.6,62.3,60,0.63,5.2,0,1,Pass,C
2.8,89.6,37.4,76.0,75,0.63,5.6,0,1,Pass,B
1.1,85.1,31.4,86.9,60,0.65,5.6,0,1,Pass,C
6.8,75.0,36.7,51.9,40,0.6,5.6,0,0,Fail,D
9.1,65.6,39.3,48.4,40,0.9,2.7,0,0,Fail,D
3.2,80.7,29.5,47.4,40,0.78,2.0,1,0,Fail,D
9.3,94.2,55.6,91.8,90,0.87,7.2,0,1,Pass,A
1.5,87.4,24.3,41.9,40,0.8,3.9,1,0,Fail,D
9.4,60.7,54.4,98.6,90,0.82,3.6,0,1,Pass,A
4.2,68.6,30.8,51.9,40,0.8,5.5,1,0,Fail,D
1.9,80.7,24.1,46.6,40,0.83,7.6,0,0,Fail,D
6.3,80.7,41.5,86.9,40,0.73,1.9,0,0,Fail,D
3.3,90.3,29.1,44.8,40,0.73,5.1,1,0,Fail,D
3.6,64.4,36.5,86.9,75,0.89,1.8,0,1,Pass,B
3.8,93.5,49.5,91.0,90,0.95,5.6,1,1,Pass,A
8.2,82.2,37.5,42.9,40,0.93,4.3,0,0,Fail,D
5.9,87.6,47.0,88.0,90,0.52,3.0,0,1,Pass,A
6.7,98.9,36.6,86.9,60,0.93,6.9,1,1,Pass,C
6.5,63.3,34.2,49.6,40,0.93,6.3,0,0,Fail,D
7.4,96.0,39.6,50.6,40,0.97,5.6,0,0,Fail,D
3.5,65.0,42.0,86.9,90,0.95,6.1,1,1,Pass,A
6.7,75.7,49.5,86.9,75,0.51,5.6,0,1,Pass,B
2.1,94.1,41.2,92.0,90,0.98,6.9,0,1,Pass,A
2.6,96.3,36.6,72.7,75,0.77,6.9,0,1,Pass,B
7.1,80.3,49.5,42.3,40,0.84,1.5,0,0,Fail,D
2.6,83.8,34.0,67.9,60,0.93,4.7,0,1,Pass,C
5.7,88.3,49.5,89.0,90,0.5,5.1,0,1,Pass,A
7.4,93.3,49.2,83.6,75,0.8,7.0,0,1,Pass,B
2.0,80.7,31.3,86.9,60,0.62,7.7,0,1,Pass,C
6.1,80.7,48.9,91.6,90,0.61,5.6,0,1,Pass,A
3.3,80.7,49.5,47.2,40,0.93,3.4,0,0,Fail,D
9.7,78.0,49.5,94.6,90,0.55,4.3,1,1,Pass,A
5.4,77.0,45.7,86.9,75,0.97,6.1,1,1,Pass,B
8.3,80.4,49.4,82.5,75,0.56,6.3,0,1,Pass,B
6.0,97.8,48.5,89.1,90,0.53,3.0,0,1,Pass,A
1.4,81.9,32.8,72.6,75,0.75,5.6,0,1,Pass,B
6.7,80.7,47.4,80.5,75,0.63,7.4,1,1,Pass,B
9.6,80.7,48.0,73.6,75,0.9,1.4,0,1,Pass,B
6.4,89.0,40.1,86.9,75,0.56,3.3,1,1,Pass,B
6.7,92.5,41.9,74.1,75,0.75,5.1,1,1,Pass,B
9.0,87.2,49.5,55.4,60,0.97,4.2,0,1,Pass,C
6.7,80.7,34.6,66.4,60,0.68,2.8,1,1,Pass,C
2.9,82.6,31.1,56.8,60,0.93,6.1,0,1,Pass,C
6.5,94.4,36.7,47.4,40,0.81,7.5,0,0,Fail,D
4.7,92.9,36.5,59.3,40,0.75,3.3,1,0,Fail,D
